"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_pembibitan_tanaman_hutan";"n_utp_pembibitan_tanaman_hutan_6101";"n_utp_pembibitan_tanaman_hutan_6102";"n_utp_pembibitan_tanaman_hutan_6103";"n_utp_pembibitan_tanaman_hutan_6104";"n_utp_pembibitan_tanaman_hutan_6105";"n_utp_pembibitan_tanaman_hutan_6106";"n_utp_pembibitan_tanaman_hutan_6107";"n_utp_pembibitan_tanaman_hutan_6108";"n_utp_pembibitan_tanaman_hutan_6109";"n_utp_pembibitan_tanaman_hutan_6110";"n_utp_pembibitan_tanaman_hutan_6111";"n_utp_pembibitan_tanaman_hutan_6112";"n_utp_pembibitan_tanaman_hutan_6113";"n_utp_pembibitan_tanaman_hutan_6114";"n_utp_pembibitan_tanaman_hutan_6115";"n_utp_pembibitan_tanaman_hutan_6116";"n_utp_pembibitan_tanaman_hutan_6117";"n_utp_pembibitan_tanaman_hutan_6118";"n_utp_pembibitan_tanaman_hutan_6119";"n_utp_pembibitan_tanaman_hutan_6120";"n_utp_pembibitan_tanaman_hutan_6121";"n_utp_pembibitan_tanaman_hutan_6122";"n_utp_pembibitan_tanaman_hutan_6123";"n_utp_pembibitan_tanaman_hutan_6124";"n_utp_pembibitan_tanaman_hutan_6125";"n_utp_pembibitan_tanaman_hutan_6126";"n_utp_pembibitan_tanaman_hutan_6127";"n_utp_pembibitan_tanaman_hutan_6128";"n_utp_pembibitan_tanaman_hutan_6129";"n_utp_pembibitan_tanaman_hutan_6130";"n_utp_pembibitan_tanaman_hutan_6131";"n_utp_pembibitan_tanaman_hutan_6132";"n_utp_pembibitan_tanaman_hutan_6133";"n_utp_pembibitan_tanaman_hutan_6134";"n_utp_pembibitan_tanaman_hutan_6135";"n_utp_pembibitan_tanaman_hutan_6136";"n_utp_pembibitan_tanaman_hutan_6137";"n_utp_pembibitan_tanaman_hutan_6138";"n_utp_pembibitan_tanaman_hutan_6139";"n_utp_pembibitan_tanaman_hutan_6140";"n_utp_pembibitan_tanaman_hutan_6141";"n_utp_pembibitan_tanaman_hutan_6142";"n_utp_pembibitan_tanaman_hutan_6143";"n_utp_pembibitan_tanaman_hutan_6144";"n_utp_pembibitan_tanaman_hutan_6145";"n_utp_pembibitan_tanaman_hutan_6146";"n_utp_pembibitan_tanaman_hutan_6147";"n_utp_pembibitan_tanaman_hutan_6148";"n_utp_pembibitan_tanaman_hutan_6149";"n_utp_pembibitan_tanaman_hutan_6150";"n_utp_pembibitan_tanaman_hutan_6151";"n_utp_pembibitan_tanaman_hutan_6152";"n_utp_pembibitan_tanaman_hutan_6153";"n_utp_pembibitan_tanaman_hutan_6154";"n_utp_pembibitan_tanaman_hutan_6155";"n_utp_pembibitan_tanaman_hutan_6156";"n_utp_pembibitan_tanaman_hutan_6157";"n_utp_pembibitan_tanaman_hutan_6158";"n_utp_pembibitan_tanaman_hutan_6159";"n_utp_pembibitan_tanaman_hutan_6160";"n_utp_pembibitan_tanaman_hutan_6161";"n_utp_pembibitan_tanaman_hutan_6162";"n_utp_pembibitan_tanaman_hutan_6163";"n_utp_pembibitan_tanaman_hutan_6164";"n_utp_pembibitan_tanaman_hutan_6165";"n_utp_pembibitan_tanaman_hutan_6166";"n_utp_pembibitan_tanaman_hutan_6167";"n_utp_pembibitan_tanaman_hutan_6168";"n_utp_pembibitan_tanaman_hutan_6169";"n_utp_pembibitan_tanaman_hutan_6170";"n_utp_pembibitan_tanaman_hutan_6171";"n_utp_pembibitan_tanaman_hutan_6172";"n_utp_pembibitan_tanaman_hutan_6173";"n_utp_pembibitan_tanaman_hutan_6174";"n_utp_pembibitan_tanaman_hutan_6175";"n_utp_pembibitan_tanaman_hutan_6176";"n_utp_pembibitan_tanaman_hutan_6177";"n_utp_pembibitan_tanaman_hutan_6178";"n_utp_pembibitan_tanaman_hutan_6179";"n_utp_pembibitan_tanaman_hutan_6180";"n_utp_pembibitan_tanaman_hutan_6181";"n_utp_pembibitan_tanaman_hutan_6182";"n_utp_pembibitan_tanaman_hutan_6183";"n_utp_pembibitan_tanaman_hutan_6184";"n_utp_pembibitan_tanaman_hutan_6185";"n_utp_pembibitan_tanaman_hutan_6186";"n_utp_pembibitan_tanaman_hutan_6187";"n_utp_pembibitan_tanaman_hutan_6188";"n_utp_pembibitan_tanaman_hutan_6189";"n_utp_pembibitan_tanaman_hutan_6199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
